Task Name,Due Date,Category,Priority,Responsible Party,Reminder 30 Days,Reminder 14 Days,Reminder 7 Days,Estimated Cost,Required Documents,Notes
Insurance Policy Review,2026-08-31,Financial,Medium,Treasurer,2026-08-01,2026-08-17,2026-08-24,$0,All current insurance policies,Review coverage amounts and renewal dates
Q3 Board Meeting,2026-09-17,Governance,High,Board Chair,2026-08-18,2026-09-03,2026-09-10,$0,Q3 financial report; SPV Q3 report; strategic planning,Quorum required
SPV Quarterly Tasks (Q3),2026-09-30,SPV,Medium,SPV Manager,2026-08-31,2026-09-16,2026-09-23,$0,Asset inventory; driver list; insurance policies,Update inventory and authorized drivers
Begin 2027 Budget Preparation,2026-09-30,Financial,High,Treasurer,2026-08-31,2026-09-16,2026-09-23,$0,2026 actuals; 2027 revenue projections; expense estimates,Draft for October Finance Committee review
SPV Q3 2026 Quarterly Board Report,2026-10-05,SPV,Medium,SPV Manager,2026-09-05,2026-09-21,2026-09-28,$0,Q3 SPV financials; operational metrics,Submit to HROC Board
2027 Budget Draft Review,2026-10-15,Financial,High,Finance Committee,2026-09-15,2026-10-01,2026-10-08,$0,Draft 2027 budget,Finance Committee makes revisions
Fundraising Plan Review,2026-10-31,Financial,Medium,Development Committee,2026-10-01,2026-10-17,2026-10-24,$0,2026 fundraising results; donor database,Plan 2027 fundraising strategy
Annual Appeal Preparation,2026-10-31,Financial,Medium,Development Committee,2026-10-01,2026-10-17,2026-10-24,$0,Donor list; appeal letter template; mailing materials,Launch in November
EXTENDED FORM 990 DEADLINE (if extension filed),2026-11-16,Federal,Critical,Treasurer,2026-10-17,2026-11-02,2026-11-09,$0-2500,Completed Form 990; all schedules,No further extensions available
2027 Budget Approval,2026-11-19,Financial,High,Board Chair,2026-10-20,2026-11-05,2026-11-12,$0,Final 2027 budget; board approval vote,Board must approve before fiscal year
Q4 Board Meeting,2026-11-19,Governance,High,Board Chair,2026-10-20,2026-11-05,2026-11-12,$0,Q4 financial report; 2027 budget; year-end planning,Quorum required
Year-End Giving Campaign Launch,2026-11-25,Financial,Medium,Development Committee,2026-10-26,2026-11-11,2026-11-18,$0,Appeal materials; donor database; thank-you templates,Execute annual appeal
Year-End Financial Planning,2026-12-15,Financial,High,Treasurer,2026-11-15,2026-12-01,2026-12-08,$0,2026 budget vs actual; Q4 expense processing,Plan year-end adjustments
SPV Quarterly Tasks (Q4),2026-12-31,SPV,Medium,SPV Manager,2026-12-01,2026-12-17,2026-12-24,$0,Asset inventory; driver list; insurance renewals,Year-end vehicle maintenance
Donor Stewardship Planning,2026-12-31,Financial,Medium,Development Committee,2026-12-01,2026-12-17,2026-12-24,$0,Major donor list; impact report template,Plan thank-you strategy
Set 2027 Board Meeting Schedule,2026-12-31,Governance,Medium,Board Secretary,2026-12-01,2026-12-17,2026-12-24,$0,2027 calendar; board member availability,Send calendar invites
Year-End Checklist,2026-12-31,Financial,High,Treasurer,2026-12-01,2026-12-17,2026-12-24,$0,All financial records; donor acknowledgments; bank reconciliations,Prepare for 2027 Form 990 prep
